Budget,Agents_Covered,Total_Agents,Target_22_Radius,Target_27_Radius
4.0,55,112,0.32191438748683715,3.4989292968009797
4.5,57,112,0.32191438748683715,3.9280269345070282
5.0,61,112,0.32191438748683715,4.550944380895366
5.5,75,112,0.32191438748683715,5.1695155200293845
6.0,88,112,0.32191438748683715,5.660304930386175
6.5,98,112,0.32191438748683715,6.0644352977089175
7.0,105,112,0.32191438748683715,6.513824381566028
7.5,106,112,0.32191438748683715,7.129194374020033
8.0,107,112,0.32191438748683715,7.601108738871409
8.5,107,112,0.32191438748683715,7.601108738871409
9.0,107,112,0.32191438748683715,7.601108738871409
9.5,108,112,0.32191438748683715,9.101590279445945
10.0,108,112,0.32191438748683715,9.101590279445945
