b,F(S*),S*,BFtime,graphidx
0,106.0,set(),0.0008990764617919922,0
1,106.0,set(),0.015636920928955078,0
2,106.0,set(),0.26894402503967285,0
3,106.0,set(),3.0318398475646973,0
4,106.0,set(),24.74700093269348,0
5,106.0,set(),148.5590319633484,0
0,107.0,set(),0.0008802413940429688,1
1,117.5,{38},0.015552997589111328,1
2,125.5,"{2, 38}",0.294173002243042,1
3,130.0,"{2, 10, 38}",4.324138879776001,1
4,133.5,"{38, 2, 10, 6}",34.19088578224182,1
5,136.5,"{0, 2, 38, 6, 10}",246.5775921344757,1
0,100.3333333333334,set(),0.002207040786743164,2
1,116.66666666666673,{38},0.018124103546142578,2
2,132.0,"{2, 38}",0.3673889636993408,2
3,141.66666666666669,"{38, 2, 6}",4.615818023681641,2
4,148.33333333333334,"{0, 38, 2, 6}",44.35810422897339,2
5,153.0,"{0, 2, 38, 6, 28}",318.0797986984253,2
0,103.75,set(),0.002480030059814453,3
1,125.0,{2},0.020920991897583008,3
2,144.0,"{2, 38}",0.4156780242919922,3
3,154.75,"{0, 2, 38}",5.521623849868774,3
4,162.5,"{0, 38, 2, 6}",62.366002321243286,3
5,170.0,"{0, 2, 38, 6, 28}",373.61551690101624,3
0,106.39999999999993,set(),0.0017719268798828125,4
1,132.39999999999998,{38},0.023311853408813477,4
2,155.4000000000001,"{2, 38}",0.5337440967559814,4
3,168.00000000000009,"{0, 2, 38}",6.22304368019104,4
4,175.80000000000007,"{0, 2, 28, 38}",65.22116303443909,4
5,181.60000000000005,"{0, 2, 38, 6, 28}",468.8981759548187,4
0,104.83333333333341,set(),0.0018749237060546875,5
1,138.16666666666663,{2},0.030089855194091797,5
2,164.33333333333331,"{2, 38}",0.5798461437225342,5
3,175.66666666666666,"{0, 2, 38}",7.241495847702026,5
4,183.66666666666663,"{0, 2, 28, 38}",63.7226402759552,5
5,189.3333333333333,"{0, 2, 38, 6, 28}",511.5698103904724,5
0,107.28571428571425,set(),0.002541780471801758,6
1,144.4285714285715,{2},0.03036332130432129,6
2,172.00000000000003,"{2, 38}",0.6077711582183838,6
3,184.28571428571436,"{2, 28, 6}",8.833378791809082,6
4,193.42857142857147,"{0, 2, 28, 6}",78.15608286857605,6
5,198.14285714285717,"{0, 2, 6, 9, 28}",545.7810969352722,6
0,107.75,set(),0.0016238689422607422,7
1,151.25,{2},0.032887935638427734,7
2,178.5,"{2, 38}",0.6202008724212646,7
3,190.375,"{2, 28, 6}",8.797418117523193,7
4,197.375,"{0, 2, 28, 6}",81.53046202659607,7
5,200.75,"{0, 2, 6, 21, 28}",572.4244289398193,7
0,108.8888888888889,set(),0.0022432804107666016,8
1,157.88888888888889,{38},0.0354161262512207,8
2,185.11111111111114,"{2, 38}",0.6678030490875244,8
3,194.22222222222226,"{0, 2, 38}",9.60446286201477,8
4,200.0,"{0, 2, 28, 6}",87.35679578781128,8
5,204.00000000000003,"{0, 2, 6, 21, 28}",630.0643792152405,8
0,108.59999999999997,set(),0.0025038719177246094,9
1,162.40000000000003,{38},0.04485678672790527,9
2,189.8,"{2, 38}",0.8575689792633057,9
3,198.2,"{0, 2, 38}",10.051679849624634,9
4,202.2,"{0, 2, 28, 38}",94.94541072845459,9
5,204.9,"{0, 2, 38, 24, 28}",675.3027920722961,9
